Comment,Designator,Footprint,LCSC
EA3059,U12,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,C111586
1k,"R24,R25,R26,R27,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R64,R66,R67,R71,R9",R_0402_1005Metric,C11702
USB_C_Receptacle,J4,USB_C_Receptacle_Molex_105450-0101,C134092
15,"R1,R4",R_0402_1005Metric,C138052
110k,R43,R_0402_1005Metric,C138065
100u,C72,C_1206_3216Metric,C15008
AO3401A,"Q2,Q3,Q5",SOT-23,C15127
XC7A35T-FGG484,U8,Xilinx_FGG484,C1521727
0.1u,"C101,C119,C120,C121,C122,C124,C126,C127,C128,C14,C21,C24,C26,C29,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C44,C45,C48,C49,C88,C89,C9,C91",C_0402_1005Metric,C1525
220p,"C106,C107,C108,C109",C_0402_1005Metric,C1530
22n,"C114,C115,C92,C97",C_0402_1005Metric,C1532
FT601Q,U7,QFN-76-1EP_9x9mm_P0.4mm_EP5.81x6.31mm,C1550513
20p,"C27,C28",C_0402_1005Metric,C1554
22p,"C93,C98",C_0402_1005Metric,C1555
HD3SS3220,U6,HD3SS3220,C165155
USB_C_Receptacle_USB2.0,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
0.22u,"C1,C10,C11,C12,C13,C15,C16,C17,C18,C2,C3,C4,C5,C6,C7,C8",C_0402_1005Metric,C16772
TBD,"FB1,FB2,FB3",L_0805_2012Metric,C16903
SW_SPDT,SW5,ST-0-102-C03-N003-RS,C1788489
4.7u,"C123,C125,C130,C131,C43,C46,C47,C51,C52,C59,C60,C66,C67,C75,C76,C78,C79",C_0603_1608Metric,C19666
MMBT3904,Q4,SOT-23,C20526
ACT,"D1,D2,D3,D4,D5,D6",LED_0603_1608Metric,C2290
USER1,"SW1,SW2,SW3,SW4",SW_SPST_B3U-1000P,C231329
900k,R19,R_0805_2012Metric,C247071
100,"R10,R11,R12,R14,R15,R28,R68",R_0402_1005Metric,C25076
100k,"R45,R46,R47,R48,R51,R52,R54,R56,R57,R59,R60,R61,R62,R65",R_0402_1005Metric,C25741
10k,"R21,R22,R41,R42,R50,R63",R_0402_1005Metric,C25744
50k,"R49,R53,R55",R_0402_1005Metric,C25755
15k,R44,R_0402_1005Metric,C25756
200k,"R20,R58",R_0402_1005Metric,C25764
4.7k,"R69,R70",R_0402_1005Metric,C25900
5.1k,"R13,R16,R17,R18,R2,R3,R5,R6,R7,R8",R_0402_1005Metric,C25905
8MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C2682775
47n,"C116,C118",C_0402_1005Metric,C272875
MT47H128M8SH-25E IT_M,U13,FBGA-60_L10.0-W8.0-P0.80-TL_MICRON_MT47HXXX,C2839094
Conn_01x10,J3,PinHeader_1x10_P1.27mm_Vertical,C2938404
100MHz,"X1,X2",Crystal_SMD_3225-4Pin_3.2x2.5mm,C2962756
30MHz,Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,C362343
A6H-4101,SW6,SW_DIP_SPSTx04_Slide_Omron_A6H-4101_W6.15mm_P1.27mm,C397291
1.6k,R23,R_0402_1005Metric,C413085
22u,"C100,C110,C111,C112,C113,C19,C22,C90,C94,C95,C96,C99",C_0805_2012Metric,C45783
0.47u,"C132,C133,C134,C135,C53,C54,C55,C56,C61,C62,C63,C64,C68,C69,C70,C71,C77,C80,C81,C82,C83,C84,C85,C86,C87",C_0402_1005Metric,C47339
CH347T,U2,TSSOP-20_4.4x6.5mm_P0.65mm,C5122332
1.5u,"L3,L4,L5,L6",L_Abracon_ASPI-3012S,C528005
TPD4EUSB30,"U1,U3,U4,U5",USON-10_2.5x1.0mm_P0.5mm,C558427
IS25WP256D-xL,U9,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,C77819
4.7uH,"L1,L2",L_Vishay_IHLP-2020,C844990
2N7002,Q1,SOT-23,C8545
MT2492,"U10,U11",SOT-23-6,C89358
47u,"C129,C50,C57,C58,C65,C73,C74",C_1206_3216Metric,C96123
10u,"C102,C103,C104,C105,C117,C20,C23,C25,C30",C_0603_1608Metric,C96446
