Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.22u,C_0402_1005Metric,61.65,-58.9,-90.0,top
C2,0.22u,C_0402_1005Metric,66.65,-58.9,-90.0,top
C3,0.22u,C_0402_1005Metric,70.65,-58.9,-90.0,top
C4,0.22u,C_0402_1005Metric,74.65,-58.9,-90.0,top
C5,0.22u,C_0402_1005Metric,60.65,-58.9,-90.0,top
C6,0.22u,C_0402_1005Metric,65.65,-58.9,-90.0,top
C7,0.22u,C_0402_1005Metric,69.65,-58.9,-90.0,top
C8,0.22u,C_0402_1005Metric,73.65,-58.9,-90.0,top
C9,0.1u,C_0402_1005Metric,59.65,-58.9,90.0,bottom
C10,0.22u,C_0402_1005Metric,62.65,-58.9,90.0,bottom
C11,0.22u,C_0402_1005Metric,67.65,-58.9,90.0,bottom
C12,0.22u,C_0402_1005Metric,71.65,-58.9,90.0,bottom
C13,0.22u,C_0402_1005Metric,75.65,-58.9,90.0,bottom
C14,0.1u,C_0402_1005Metric,60.65,-58.9,90.0,bottom
C15,0.22u,C_0402_1005Metric,63.65,-58.9,90.0,bottom
C16,0.22u,C_0402_1005Metric,68.65,-58.9,90.0,bottom
C17,0.22u,C_0402_1005Metric,72.65,-58.9,90.0,bottom
C18,0.22u,C_0402_1005Metric,76.65,-58.9,90.0,bottom
C19,22u,C_0805_2012Metric,46.9,-58.85,0.0,top
C20,10u,C_0603_1608Metric,46.75,-57.1,0.0,top
C21,0.1u,C_0402_1005Metric,46.45,-55.8,0.0,top
C22,22u,C_0805_2012Metric,52.5,-58.85,180.0,top
C23,10u,C_0603_1608Metric,52.65,-57.1,180.0,top
C24,0.1u,C_0402_1005Metric,52.95,-55.8,180.0,top
C25,10u,C_0603_1608Metric,11.25,-40.6,180.0,top
C26,0.1u,C_0402_1005Metric,22.9,-48.05,0.0,top
C27,20p,C_0402_1005Metric,17.75,-50.65,-90.0,top
C28,20p,C_0402_1005Metric,12.55,-51.35,90.0,top
C29,0.1u,C_0402_1005Metric,14.0,-39.9,90.0,top
C30,10u,C_0603_1608Metric,17.6,-27.8,-90.0,top
C31,0.1u,C_0402_1005Metric,14.5,-18.925,0.0,top
C32,0.1u,C_0402_1005Metric,14.5,-24.925,0.0,top
C33,0.1u,C_0402_1005Metric,14.5,-17.975,0.0,top
C34,0.1u,C_0402_1005Metric,14.5,-23.975,0.0,top
C35,0.1u,C_0402_1005Metric,19.5,-25.3,0.0,top
C36,0.1u,C_0402_1005Metric,19.45,-22.1,0.0,bottom
C37,0.1u,C_0402_1005Metric,21.4,-21.25,0.0,top
C38,0.1u,C_0402_1005Metric,21.4,-22.175,0.0,top
C39,0.1u,C_0402_1005Metric,33.2,-11.73,-90.0,top
C40,0.1u,C_0402_1005Metric,28.0,-12.37,90.0,top
C41,0.1u,C_0402_1005Metric,30.05,-16.0,90.0,top
C42,0.1u,C_0402_1005Metric,35.9,-15.1,270.0,bottom
C43,4.7u,C_0603_1608Metric,28.3,-20.35,0.0,bottom
C44,0.1u,C_0402_1005Metric,62.0,-42.0,270.0,bottom
C45,0.1u,C_0402_1005Metric,56.5,-40.5,90.0,bottom
C46,4.7u,C_0603_1608Metric,60.0,-39.0,180.0,bottom
C47,4.7u,C_0603_1608Metric,59.286,-44.0,270.0,bottom
C48,0.1u,C_0402_1005Metric,56.5,-44.0,270.0,bottom
C49,0.1u,C_0402_1005Metric,64.5,-42.5,180.0,bottom
C50,47u,C_1206_3216Metric,42.75,-44.2,270.0,bottom
C51,4.7u,C_0603_1608Metric,47.0,-40.0,180.0,bottom
C52,4.7u,C_0603_1608Metric,50.0,-44.0,0.0,bottom
C53,0.47u,C_0402_1005Metric,46.5,-43.5,270.0,bottom
C54,0.47u,C_0402_1005Metric,53.0,-43.0,0.0,bottom
C55,0.47u,C_0402_1005Metric,54.0,-41.04,180.0,bottom
C56,0.47u,C_0402_1005Metric,51.0,-42.0,180.0,bottom
C57,47u,C_1206_3216Metric,55.8,-48.5,270.0,bottom
C58,47u,C_1206_3216Metric,68.7,-44.2,90.0,bottom
C59,4.7u,C_0603_1608Metric,48.5,-33.0,180.0,bottom
C60,4.7u,C_0603_1608Metric,48.5,-23.9,135.0,bottom
C61,0.47u,C_0402_1005Metric,51.0,-28.5,270.0,bottom
C62,0.47u,C_0402_1005Metric,50.5,-30.5,90.0,bottom
C63,0.47u,C_0402_1005Metric,53.0,-30.0,90.0,bottom
C64,0.47u,C_0402_1005Metric,53.5,-34.5,270.0,bottom
C65,47u,C_1206_3216Metric,68.7,-23.9,90.0,bottom
C66,4.7u,C_0603_1608Metric,65.0,-24.0,180.0,bottom
C67,4.7u,C_0603_1608Metric,62.0,-25.0,180.0,bottom
C68,0.47u,C_0402_1005Metric,63.0,-28.0,180.0,bottom
C69,0.47u,C_0402_1005Metric,65.0,-29.0,0.0,bottom
